p1,p2,p3,p4,p5,t0,objective,elapsed_sec
 , ,8,32,256,120,0.0013710036518297,15.684784412384031
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,32,32,400,0.0553210093182734,15.689637422561646
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,8,2000,7.438642204253291,17.084331512451172
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,4,120,0.0012336668820269,110.82259511947632
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,4,400,0.05549504734237,110.82960247993468
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,2048,256,2000,7.481034717644509,110.83660459518433
#pragma clang loop(i1) pack array(A) allocate(malloc), ,16,2048,4,120,0.0011079220436166,150.558123588562
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,4,400,0.0548528304952143,150.57392358779907
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,2000,6.325694841361397,150.59653735160828
#pragma clang loop(i1) pack array(A) allocate(malloc), ,8,2048,4,120,0.0011079224534149,184.759952545166
#pragma clang loop(i1) pack array(A) allocate(malloc), ,20,2048,4,400,0.0468729114536048,184.76783227920532
#pragma clang loop(i1) pack array(A) allocate(malloc), ,20,2048,4,2000,6.143839877965684,184.77579283714297
#pragma clang loop(i1) pack array(A) allocate(malloc), ,50,2048,4,120,0.0011079207372977,218.3851821422577
#pragma clang loop(i1) pack array(A) allocate(malloc), ,16,2048,4,400,0.0468266665794979,218.39339876174927
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,4,2000,6.270006920529779,218.4015567302704
#pragma clang loop(i1) pack array(A) allocate(malloc), ,64,2048,4,120,0.0011079202762168,252.85256218910217
#pragma clang loop(i1) pack array(A) allocate(malloc), ,16,2048,8,400,0.0470096439955401,252.8614592552185
#pragma clang loop(i1) pack array(A) allocate(malloc), ,96,2048,4,2000,6.519253231127016,252.87046098709104
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,2048,4,120,0.0011079228503926,289.4686107635498
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,64,4,400,0.0552327481898246,289.47754859924316
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,16,4,2000,7.542198161983398,289.4866371154785
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,8,120,0.0011257959651209,340.46230840682983
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,100,4,400,0.0563985068758258,340.47175765037537
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,4,2000,6.278729259123741,340.4813265800476
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,2048,16,120,0.0011433966951657,377.2975306510926
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,256,400,0.0542624644806955,377.3076105117798
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,256,2000,7.522552288395644,377.3174221515655
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,4,120,0.0012482607169865,414.8022365570069
 , ,128,4,4,400,0.0561563865131645,414.8126006126404
 , ,128,4,4,2000,7.542320157691497,414.82284784317017
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,4,120,0.0011079421515011,459.0347332954407
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,4,400,0.0468371560753044,459.0454671382904
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,128,4,2000,7.103391638150942,459.05597591400146
 , ,20,2048,4,120,0.0011079460136564,493.5630085468292
 , ,16,2048,4,400,0.046818229658882,493.5749599933624
 , ,4,2048,8,2000,6.466993490712409,493.5858693122864
 , ,8,2048,16,120,0.0011434207837529,528.2115890979767
#pragma clang loop(i1) pack array(A) allocate(malloc), ,96,2048,4,400,0.047103127246072,528.2237703800201
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,2048,20,2000,6.9142027018768095,528.2350678443909
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,128,8,120,0.0011423286135128,580.5677258968353
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,2048,8,400,0.0469220574853139,580.580137014389
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,8,2000,7.872968021128424,580.5967848300934
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,4,120,0.0011079429839173,615.5128066539764
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,2048,4,400,0.0471489673026924,615.5256259441376
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,32,2000,6.568862516004897,615.5376617908478
 , ,8,2048,4,120,0.0011079468460712,675.276567697525
 , ,8,2048,8,400,0.046978711606942,675.2898633480072
 , ,4,2048,4,2000,6.2695455099702,675.3041098117828
 , ,50,2048,8,120,0.0011257989378255,717.4327249526978
 , ,100,2048,8,400,0.0473826550083986,717.4462254047394
#pragma clang loop(i1) pack array(A) allocate(malloc), ,64,2048,128,2000,7.483111324234275,717.4590678215027
#pragma clang loop(i1) pack array(A) allocate(malloc), ,8,2048,8,120,0.0011257762150105,765.8809885978699
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,2048,4,400,0.0467339767049746,765.8948738574982
 , ,128,2048,20,2000,6.6476411120488414,765.9080753326416
 , ,8,2048,8,120,0.001125800657044,804.3532903194427
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,400,0.0470912381407492,804.367702960968
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,256,2000,7.672286319200822,804.3814926147461
 , ,50,2048,4,120,0.001107945129958,839.7135059833527
 , ,20,2048,4,400,0.0468713228825705,839.7282290458679
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,256,2000,7.627680691914691,839.7437267303467
 , ,96,2048,4,120,0.0011079437082537,913.2698266506196
 , ,32,2048,4,400,0.046924349173432,913.2849118709564
 , ,8,2048,4,2000,6.538402440786143,913.299348115921
 , ,128,2048,8,120,0.0011257964956842,958.682109117508
 , ,128,2048,4,400,0.0472410885768115,958.697465658188
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,4,2000,8.32746921744022,958.7123942375184
