p1,p2,p3,p4,p5,t0,objective,elapsed_sec
#pragma clang loop(i1) pack array(A) allocate(malloc), ,64,50,100,120,0.0012135,8.582812070846558
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,20,256,120,0.0012185,16.998265027999878
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,128,120,0.0049815,27.207019805908203
 , ,32,100,64,120,0.00121,36.97878956794739
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,100,120,0.00121,45.51672577857971
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,4,16,120,0.0012079999999999,53.91831970214844
#pragma clang loop(i1) pack array(A) allocate(malloc), ,32,80,50,120,0.001208,62.13255190849304
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,8,120,0.001208,70.6234278678894
#pragma clang loop(i1) pack array(A) allocate(malloc), ,8,128,32,120,0.0011435,79.3590042591095
 , ,32,50,20,120,0.00122,87.67903566360474
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,50,120,0.001212,95.99096965789796
 , ,8,20,256,120,0.0012155,104.41879963874815
 , ,32,50,20,120,0.0012085,112.90620803833008
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,64,16,120,0.0012195,121.26763105392456
 , ,96,64,8,120,0.001219,129.49398469924927
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,20,32,120,0.0012079999999999,139.2500364780426
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,32,120,0.001236,147.51868772506714
#pragma clang loop(i1) pack array(A) allocate(malloc), ,64,50,64,120,0.0012125,155.91084742546082
#pragma clang loop(i1) pack array(A) allocate(malloc), ,64,16,256,120,0.0012255,164.2191276550293
 , ,128,128,64,120,0.001193,172.90481901168823
