p1,p2,p3,p4,p5,t0,objective,elapsed_sec
#pragma clang loop(i1) pack array(A) allocate(malloc), ,16,64,16,120,0.0012083960415281,134.35434460639954
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,64,120,0.0013077652899569,134.36087441444397
 , ,20,20,4,120,0.0012188204538689,134.3690848350525
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,20,120,0.0012099598382323,134.37682127952576
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,20,120,0.0011937983532447,134.38473296165466
#pragma clang loop(i1) pack array(A) allocate(malloc), ,50,100,64,120,0.0012444274606174,134.3925423622131
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,100,120,0.001398793923729,134.400737285614
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,8,80,120,0.0013686154242746,134.40889525413513
 , ,80,128,256,120,0.0012912847554763,134.4172351360321
 , ,80,16,8,120,0.0012517111512355,134.42558193206787
 , ,4,16,256,120,0.0014009232960654,134.43406701087952
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,80,8,120,0.0011748277469128,134.44266200065613
#pragma clang loop(i1) pack array(A) allocate(malloc), ,96,50,50,120,0.001275667585514,134.45120000839233
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,128,120,0.0013556942475927,134.4601092338562
 , ,100,2048,32,120,0.0011779088619399,134.46894550323486
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,4,400,0.0552488705094687,134.4778928756714
#pragma clang loop(i1) pack array(A) allocate(malloc), ,80,128,128,400,0.0561870157726746,134.48690366744995
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,20,16,400,0.0550436232751723,134.49593114852905
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,80,400,0.055616697129599,134.505038022995
 , ,16,16,64,400,0.0554134491897536,134.51435160636902
 , ,32,8,20,400,0.0545910281256335,134.5237259864807
