p1,p2,p3,p4,p5,t0,objective,elapsed_sec
 , ,128,32,256,260,0.0143075,9.8048996925354
#pragma clang loop(i1) pack array(A) allocate(malloc), ,16,50,8,260,0.01441,18.173438549041748
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,100,260,0.014255,30.948158502578735
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,80,64,260,0.0143085,39.296480655670166
#pragma clang loop(i1) pack array(A) allocate(malloc), ,20,2048,4,260,0.012501,48.37148213386536
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,32,20,260,0.0143095,56.9442937374115
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,32,260,0.0143035,65.32068037986755
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,32,260,0.0143345,73.98884320259094
 , ,8,100,8,260,0.014518,82.41348958015442
 , ,32,8,128,260,0.0147079999999999,90.87242221832275
 , ,4,20,50,260,0.0143749999999999,99.3025074005127
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,128,80,260,0.014704,107.96864604949953
#pragma clang loop(i1) pack array(A) allocate(malloc), ,32,80,16,260,0.0143175,116.41251921653748
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,128,260,0.0145965,124.81626439094543
 , ,50,16,64,260,0.0142955,133.26088285446167
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,4,260,0.012492,144.65251469612122
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,4,260,0.0142805,154.8523678779602
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,4,260,0.012632,165.7363474369049
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,4,260,0.012627,177.54874801635742
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,260,0.0123065,189.4080061912537
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,2048,4,260,0.0127275,201.0728051662445
 , ,100,2048,4,260,0.012284,214.1566879749298
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,4,260,0.012292,227.21607780456543
#pragma clang loop(i1) pack array(A) allocate(malloc), ,96,2048,4,260,0.0128554999999999,240.04417204856873
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,4,260,0.01225,251.99255466461184
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,4,260,0.0145689999999999,262.2802758216858
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,4,256,260,0.014814,272.69267559051514
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,4,260,0.0129319999999999,283.77712202072144
#pragma clang loop(i1) pack array(A) allocate(malloc), ,32,2048,4,260,0.0124774999999999,294.60173654556274
 , ,128,2048,4,260,0.0124065,306.07429790496826
