p1,p2,p3,p4,p5,t0,objective,elapsed_sec
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,256,260,0.0143695,10.957759380340576
 , ,4,2048,8,260,0.012326,48.8239541053772
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,80,4,260,0.0142875,94.07968068122864
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,2048,256,260,0.0143025,124.33363580703735
 , ,4,2048,256,260,0.014367,165.25193667411804
 , ,100,16,4,260,0.01427,203.71574234962463
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,4,260,0.012842,239.81335282325745
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,8,260,0.0122715,284.40345311164856
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,16,260,0.012584,355.59559774398804
 , ,80,4,4,260,0.014359,400.7841467857361
 , ,96,2048,4,260,0.0124605,440.28722500801086
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,4,260,0.0143695,494.1035797595978
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,2048,4,260,0.012579,565.5451753139496
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,8,260,0.0122479999999999,607.2763319015503
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,32,260,0.01328,647.5637085437775
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,260,0.0123115,691.787121295929
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,4,260,0.0124365,727.060952425003
 , ,128,2048,4,260,0.0123415,769.379620552063
#pragma clang loop(i1) pack array(A) allocate(malloc), ,50,2048,4,260,0.012552,830.7977120876312
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,4,260,0.012438,888.5529956817627
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,4,260,0.0125695,943.8799014091492
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,2048,8,260,0.012143,1085.8444662094116
 , ,96,2048,16,260,0.012731,1121.331884622574
 , ,16,2048,4,260,0.0125725,1174.455560207367
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,4,8,260,0.0143495,1216.1979143619535
#pragma clang loop(i1) pack array(A) allocate(malloc), ,8,4,256,260,0.0143395,1243.612052679062
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,4,260,0.0123675,1292.208636522293
 , ,4,4,128,260,0.0142575,1331.3596909046173
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,256,260,0.014362,1362.8876798152924
#pragma clang loop(i1) pack array(A) allocate(malloc), ,96,2048,4,260,0.012358000000000001,1410.5423831939697
