p1,p2,p3,p4,p5,t0,objective,elapsed_sec
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,100,120,0.0013845868117691,10.976000547409058
#pragma clang loop(i1) pack array(A) allocate(malloc), ,8,100,16,400,0.0558593995008117,10.981061220169067
 , ,128,4,50,2000,7.143079586762819,12.410659313201904
 , ,8,2048,8,120,0.001125800657044,48.839208364486694
 , ,4,2048,20,400,0.0486119798991277,48.84618258476257
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,32,2000,6.773023843433629,48.8531801700592
 , ,4,2048,128,120,0.0012592406386991,94.09788966178894
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,4,400,0.0468251931315024,94.10578227043152
 , ,16,128,4,2000,6.870932800770045,94.11392879486084
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,2048,100,120,0.0012435505699384,124.34635019302368
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,2048,80,400,0.0540260114125889,124.35496354103088
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,2048,32,2000,6.647344872348236,124.36270928382874
 , ,4,2048,100,120,0.0012435798175111,165.26501321792605
 , ,8,128,256,400,0.0551618727735973,165.27325797080994
 , ,8,2048,256,2000,7.538040118316047,165.28140234947205
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,4,120,0.0011079421515011,203.7300295829773
 , ,128,16,4,400,0.0542762780834659,203.7386326789856
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,2000,6.325694841361397,203.7473123073578
#pragma clang loop(i1) pack array(A) allocate(malloc), ,8,2048,4,120,0.0011079224534149,239.83572483062744
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,4,4,400,0.0550663629633447,239.8467879295349
#pragma clang loop(i1) pack array(A) allocate(malloc), ,20,128,4,2000,7.010986127701755,239.85645151138303
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,8,120,0.0011258199708675,284.4216341972351
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,8,400,0.0469127287071312,284.43318033218384
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,2000,6.3548303433493905,284.4432921409607
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,4,120,0.001124483582395,355.6091754436493
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,4,400,0.0549830999871287,355.61896562576294
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,8,2000,7.912591504915589,355.62906861305237
 , ,100,4,4,120,0.0012625311631972,400.7981834411621
 , ,128,4,8,400,0.0556012762247661,400.8084921836853
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,256,2000,7.499170833345806,400.8187084197998
 , ,64,2048,4,120,0.0011079446688774,440.3074674606323
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,4,400,0.0471241897206809,440.3191797733307
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,256,2000,7.696471880297738,440.33133721351624
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,4,120,0.001203698114913,494.11852288246155
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,50,4,400,0.0551264368857071,494.129567861557
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,256,2000,7.113046622105063,494.1404137611389
