p1,p2,p3,p4,p5,t0,objective,elapsed_sec
#pragma clang loop(i1) pack array(A) allocate(malloc), ,16,64,16,120,0.0012083960415281,4159.693089962006
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,64,120,0.0013077652899569,4159.702568531036
 , ,20,20,4,120,0.0012188204538689,4159.713016748428
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,20,120,0.0012099598382323,4159.727202653885
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,20,120,0.0011937983532447,4159.736357927322
#pragma clang loop(i1) pack array(A) allocate(malloc), ,50,100,64,120,0.0012444274606174,4159.744289159775
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,100,120,0.001398793923729,4159.752337932587
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,8,80,120,0.0013686154242746,4159.760376214981
 , ,80,128,256,120,0.0012912847554763,4159.768489360809
 , ,80,16,8,120,0.0012517111512355,4159.776718854904
 , ,4,16,256,120,0.0014009232960654,4159.78511762619
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,80,8,120,0.0011748277469128,4159.793533086777
#pragma clang loop(i1) pack array(A) allocate(malloc), ,96,50,50,120,0.001275667585514,4159.802008152008
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,128,120,0.0013556942475927,4159.811028718948
 , ,100,2048,32,120,0.0011779088619399,4159.81997013092
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,32,4,400,0.0552488705094687,4159.828901767731
#pragma clang loop(i1) pack array(A) allocate(malloc), ,80,128,128,400,0.0561870157726746,4159.837891101837
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,20,16,400,0.0550436232751723,4159.846854925156
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,80,400,0.055616697129599,4159.8559329509735
 , ,16,16,64,400,0.0554134491897536,4159.865141868591
 , ,32,8,20,400,0.0545910281256335,4159.8743987083435
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,100,100,400,0.0548388082476028,4159.883682012558
 , ,8,100,64,400,0.0552755584797007,4159.893210411072
 , ,100,80,32,400,0.0549766669302729,4159.902726888657
 , ,20,128,4,400,0.0551922977533287,4159.912382602692
#pragma clang loop(i1) pack array(A) allocate(malloc), ,8,2048,50,400,0.0515448200136934,4159.922275543213
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,4,100,400,0.0549289190385267,4159.932500123978
 , ,80,50,20,400,0.0551864349558514,4159.942509651184
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,20,16,400,0.0558316554248941,4159.952711343765
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,64,256,400,0.054569167861854,4159.963681936264
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,50,20,2000,7.5766764287801,4159.974420070648
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,100,16,2000,7.773099343216602,4159.984890222549
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,20,256,2000,7.48326678428117,4159.996963024139
 , ,4,2048,4,2000,6.2695455099702,4160.008378267288
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,64,8,2000,7.400458768855417,4160.022443294525
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,50,128,2000,7.608412101873588,4160.039664745331
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,64,50,2000,7.473641997743243,4160.055859565735
 , ,20,128,32,2000,8.163086848966055,4160.074198246002
