p1,p2,p3,p4,p5,t0,objective,elapsed_sec
 , ,128,32,256,4000,75.659909,279.47146010398865
#pragma clang loop(i1) pack array(A) allocate(malloc), ,16,50,8,4000,76.38487749999999,560.0355286598206
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,100,4000,75.7392885,841.9431085586548
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,80,64,4000,75.9754275,1122.7195072174072
#pragma clang loop(i1) pack array(A) allocate(malloc), ,20,2048,4,4000,76.2866745,1403.4597551822662
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,32,20,4000,76.32789650000001,1685.2511184215546
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,32,4000,76.690967,1967.4757182598112
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,32,4000,76.347526,2249.021090745926
 , ,8,100,8,4000,76.03959449999999,2530.119850873947
 , ,32,8,128,4000,75.44691,2809.451853752136
 , ,4,20,50,4000,75.560517,3087.475780248642
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,128,80,4000,75.570361,3367.4754576683044
#pragma clang loop(i1) pack array(A) allocate(malloc), ,32,80,16,4000,75.334997,3646.517502784729
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,128,4000,75.19985750000001,3923.4368920326233
 , ,50,16,64,4000,75.41479,4202.735176324844
 , ,128,8,128,4000,75.29856649999999,4483.351974725723
 , ,128,4,80,4000,75.119202,4763.25946855545
 , ,100,2048,128,4000,75.218088,5042.695924282074
 , ,8,4,256,4000,75.433719,5323.8275463581085
 , ,100,4,256,4000,75.45517899999999,5604.70800948143
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,4,256,4000,75.264408,5884.259585380554
#pragma clang loop(i1) pack array(A) allocate(malloc), ,80,4,256,4000,75.31358900000001,6165.159409046173
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,100,256,4000,75.788398,6447.435786962509
 , ,128,2048,4,4000,75.352644,6728.091502428055
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,8,256,4000,75.711717,7010.708012104034
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,256,4000,75.2313235,7291.519533395767
 , ,128,2048,16,4000,75.32449349999999,7571.359879016876
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,4,4000,75.84333699999999,7854.087807416916
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,4,4000,75.88432,8136.607751369476
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,256,4000,75.9872815,8419.236617326736
