p1,p2,p3,p4,p5,t0,objective,elapsed_sec
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,256,4000,74.95461399999999,278.2947826385498
 , ,4,2048,20,4000,75.0928655,635.5067002773285
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,4,4000,75.5542235,933.1321473121644
 , ,128,8,16,4000,75.06991049999999,1231.428591489792
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,4,256,4000,77.10989749999999,1533.7034618854525
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,100,4000,76.669074,1837.674879074097
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,128,4000,76.6351135,2138.703837633133
 , ,128,80,50,4000,76.69514749999999,2444.957935333252
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,4,4000,75.311755,2742.4490118026733
 , ,8,4,4,4000,76.059947,3065.329512119293
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,256,4000,75.43405150000001,3375.421389579773
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,2048,4,4000,75.305057,3678.1632149219513
 , ,32,32,256,4000,75.1988575,4019.431088447571
 , ,64,128,4,4000,75.163452,4314.54253077507
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,8,128,4000,75.32869,4640.950311899185
#pragma clang loop(i1) pack array(A) allocate(malloc), ,64,2048,256,4000,75.1774785,4949.682538509369
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,256,4000,75.1129385,5264.102393388748
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,64,4,4000,75.13393049999999,5604.400809049606
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,20,4000,75.78479300000001,5975.29688501358
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,50,20,4000,75.40289250000001,6320.2791838645935
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,50,4000,75.44903,6630.83847618103
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,2048,8,4000,75.1965845,6953.750545740128
 , ,8,20,8,4000,75.320007,7298.355534791946
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,50,4,4000,75.1816595,7621.695042610168
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,2048,256,4000,75.2054815,7950.371336936951
#pragma clang loop(i1) pack array(A) allocate(malloc), ,50,2048,4,4000,75.2907775,8296.043150424957
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,32,128,4000,75.3095195,8645.806698322296
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,8,4000,75.187076,9040.52246427536
#pragma clang loop(i1) pack array(A) allocate(malloc), ,80,4,8,4000,75.3318085,9395.175263643265
 , ,80,20,4,4000,75.131261,9825.695374011993
