p1,p2,p3,p4,p5,t0,objective,elapsed_sec
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,100,120,0.0013845868117691,278.30912351608276
#pragma clang loop(i1) pack array(A) allocate(malloc), ,8,100,16,400,0.0558593995008117,278.3139715194702
 , ,128,4,50,2000,7.143079586762819,279.8205900192261
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,4,120,0.001124483582395,635.5191519260406
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,4,400,0.0569677055251063,635.526124715805
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,4,2000,7.051894569303918,635.5335690975189
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,4,4,120,0.0012625062346662,933.1477756500244
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,4,400,0.0553506188079444,933.1552684307098
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,4,2000,7.54914307897295,933.1625928878784
 , ,4,2048,100,120,0.0012435798175111,1231.4625914096832
 , ,128,8,4,400,0.0550615724488457,1231.4721460342407
 , ,4,2048,128,2000,7.364408411892612,1231.4801843166351
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,4,16,120,0.0012983522034768,1533.723715543747
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,8,128,400,0.055753339447608,1533.7333815097809
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,8,20,2000,7.538323315048192,1533.741404056549
 , ,4,4,4,120,0.0012625353302654,1837.6877522468567
#pragma clang loop(i1) pack array(A) allocate(malloc), ,96,4,4,400,0.0549441479147384,1837.6963210105896
 , ,20,2048,4,2000,5.9803142955059645,1837.7050416469576
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,64,4,120,0.001172706240272,2138.7195196151733
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,80,400,0.0532340831691662,2138.73000049591
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,256,2000,7.113046622105063,2138.739126443863
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,2048,50,120,0.0011947320526159,2444.9755187034607
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,2048,50,400,0.0518042630450648,2444.986247062683
#pragma clang loop(i1) pack array(A) allocate(malloc), ,8,2048,50,2000,7.5483805937894,2444.9957070350647
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,4,120,0.0011079388341878,2742.465431690216
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,2048,4,400,0.0471947391981118,2742.47585773468
 , ,16,4,256,2000,7.8031751211685645,2742.485569000244
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,32,256,120,0.0013709793528758,3065.34410405159
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,2048,256,400,0.0549241700663082,3065.3544256687164
 , ,20,4,8,2000,7.210162531333385,3065.364524364471
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,128,120,0.0012592368416431,3375.44308757782
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,128,400,0.05487729638396,3375.455806016922
 , ,128,100,4,2000,8.197386040920053,3375.466329097748
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,2048,8,120,0.0011257720536481,3678.189522743225
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,2048,8,400,0.0473140748171408,3678.200779438019
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,4,2000,6.411570812814613,3678.2116413116455
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,2048,80,120,0.0012275765332276,4019.44656085968
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,2048,256,400,0.0550099732608309,4019.458612203598
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,2048,128,2000,7.324790169378063,4019.4698343276978
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,100,4,120,0.0011407873479493,4314.559780597687
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,128,4,400,0.0547765345614035,4314.572316646576
#pragma clang loop(i1) pack array(A) allocate(malloc), ,64,2048,256,2000,7.1463516126152875,4314.5841500759125
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,256,120,0.0012745939369269,4640.965914011002
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,256,400,0.0549546155289777,4640.978576898575
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,8,2000,7.026890200939849,4640.990555047989
#pragma clang loop(i1) pack array(A) allocate(malloc), ,80,2048,4,120,0.0011079198023154,4949.699538707733
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,4,400,0.0571161943254386,4949.712752819061
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,4,2000,8.517457081578502,4949.727157831192
#pragma clang loop(i1) pack array(A) allocate(malloc), ,96,2048,4,120,0.0011079193155933,5264.119357824326
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,4,400,0.0557522133027769,5264.132894039154
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,4,256,2000,7.66582165392114,5264.145808458328
#pragma clang loop(i1) pack array(A) allocate(malloc), ,20,2048,4,120,0.0011079216209976,5604.420120239258
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,32,4,400,0.0553666200904574,5604.434203863144
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,64,4,2000,8.063471160042281,5604.447505474091
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,4,120,0.0011244546013244,5975.320630788803
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,4,400,0.0563115981133897,5975.337545871735
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,4,2000,7.0815981791000615,5975.351000785828
#pragma clang loop(i1) pack array(A) allocate(malloc), ,20,100,4,120,0.00114074370574,6320.31561088562
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,2048,4,400,0.0467339767049746,6320.336597919464
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,80,80,2000,7.8920490968300925,6320.355721712112
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,2048,4,120,0.0011079228503926,6630.883364439011
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,32,400,0.0499439344799532,6630.900655031204
