p1,p2,p3,p4,p5,t0,objective,elapsed_sec
 , ,8,32,256,120,0.0013710036518297,280.8649516105652
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,32,32,400,0.0553210093182734,280.8698446750641
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,8,2000,7.438642204253291,282.36920619010925
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,128,120,0.0012592322251226,586.5250709056854
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,256,400,0.0541863492411304,586.5329172611237
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,128,2000,6.997987501661516,586.5398898124695
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,4,120,0.0011079403328184,906.8149170875548
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,8,400,0.0471207930658216,906.8222994804382
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,16,2000,6.4383403334339055,906.8296763896942
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,4,120,0.0011079388341878,1207.4707918167114
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,4,400,0.0470268379508534,1207.4786231517792
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,16,2000,6.569390775558881,1207.4867639541626
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,2048,4,120,0.0011079429839173,1511.0063121318815
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,128,4,400,0.0548148400629982,1511.0162405967712
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,4,2000,6.411570812814613,1511.024509191513
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,2048,4,120,0.0011079228503926,1813.7660171985624
#pragma clang loop(i1) pack array(A) allocate(malloc), ,50,2048,4,400,0.0469652000811839,1813.774951696396
#pragma clang loop(i1) pack array(A) allocate(malloc), ,50,2048,4,2000,6.41027577879068,1813.7836377620697
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,2048,4,120,0.0011079183036877,2117.153041601181
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,2048,8,400,0.0473140748171408,2117.162055015564
#pragma clang loop(i1) pack array(A) allocate(malloc), ,96,2048,8,2000,6.235379003494787,2117.171366453171
 , ,128,2048,4,120,0.0011079426963466,2428.897849559784
 , ,128,128,4,400,0.0555038982746327,2428.9089052677155
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,2048,4,2000,6.391701253674823,2428.918356657028
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,2048,8,120,0.0011257720536481,2738.381134033203
#pragma clang loop(i1) pack array(A) allocate(malloc), ,96,2048,4,400,0.047103127246072,2738.390901565552
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,2048,16,2000,6.688618177326771,2738.4009478092194
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,2048,16,120,0.0011433966951657,3045.010418653488
#pragma clang loop(i1) pack array(A) allocate(malloc), ,8,2048,8,400,0.046965884172043,3045.0213181972504
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,256,2000,7.561734572373794,3045.031640529633
 , ,50,32,4,120,0.0012037044773504,3372.0302135944366
 , ,8,32,4,400,0.0549544810128187,3372.041918039322
#pragma clang loop(i1) pack array(A) allocate(malloc), ,100,32,4,2000,6.7461791765356365,3372.052783727646
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,128,4,120,0.0011244800333285,3692.54968380928
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,4,400,0.0470251314283314,3692.561695098877
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,4,2000,6.270006920529779,3692.573888540268
