p0,p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,100,80,1000,1200,0.937346,10.150251388549805
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,20,1000,1200,0.503423,18.82828140258789
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,4,50,1000,1200,0.6007795,31.664111375808716
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,80,32,1000,1200,0.4675835,38.379565715789795
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,128,1000,1200,0.594743,44.80979776382446
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,8,256,1000,1200,0.4808645,52.33420443534851
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,32,32,1000,1200,0.4627934999999999,58.15204071998596
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,50,1000,1200,0.215415,65.2903242111206
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,20,4,1000,1200,0.6987019999999999,71.70268511772156
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,80,80,1000,1200,0.588606,79.47630858421326
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,32,8,1000,1200,0.6959925,88.1374979019165
 , , ,32,8,50,1000,1200,0.5855515,95.9344198703766
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,256,1000,1200,0.4956395,101.69328951835632
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,20,16,1000,1200,0.4526835,107.40552544593812
 , , ,128,128,4,1000,1200,0.712522,113.87953543663023
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,32,8,1000,1200,0.9485145,123.2139925956726
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,8,50,1000,1200,0.463766,132.8409879207611
 , , ,64,64,64,1000,1200,0.590603,138.82385325431824
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,50,20,1000,1200,0.5113235,144.70074462890625
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,64,128,1000,1200,0.9360675,153.07208228111267
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,16,100,1000,1200,0.6932659999999999,161.29525995254517
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,100,1000,1200,0.2016315,168.2140233516693
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,20,100,1000,1200,0.5207535000000001,174.3124098777771
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,32,80,1000,1200,0.5765575000000001,182.60371780395508
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,8,8,1000,1200,0.4855405,192.22247219085693
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,64,128,100,1000,1200,0.9209635,200.65891242027283
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,32,16,1000,1200,0.4903889999999999,207.86633563041687
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,80,80,1000,1200,0.576911,214.1485345363617
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,20,16,1000,1200,0.5116985000000001,222.3899130821228
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,100,1000,1200,0.2017065,233.02279329299927
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,100,16,1000,1200,0.5981835,240.99798154830933
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,128,50,1000,1200,1.023576,250.85068130493164
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,20,16,1000,1200,0.999836,259.48876094818115
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,50,1000,1200,0.2594305,270.5678997039795
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,80,1000,1200,0.5984860000000001,277.6786673069
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,32,256,1000,1200,0.490488,283.482745885849
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,50,32,1000,1200,0.4813755,289.35464692115784
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,64,32,1000,1200,0.8984185,297.89655780792236
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,2048,32,1000,1200,0.6810780000000001,304.12141466140747
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,4,1000,1200,0.6824859999999999,310.88034677505493
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,80,80,1000,1200,0.496181,317.07942271232605
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,8,20,1000,1200,0.5231065,324.0818417072296
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,80,80,1000,1200,0.4962649999999999,330.52579832077026
 , , ,8,80,256,1000,1200,0.6646455,336.8992042541504
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,32,8,1000,1200,0.9623275,345.4140284061432
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,64,1000,1200,0.1803785,352.358366727829
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,8,128,1000,1200,0.5130874999999999,359.3247170448303
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,20,1000,1200,0.4648565,365.3473606109619
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,128,256,1000,1200,0.652506,374.15475630760193
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,50,1000,1200,0.5877015,380.4227225780487
 , , ,20,100,64,1000,1200,0.6030690000000001,386.4811327457428
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,128,64,1000,1200,0.5949125,394.0181610584259
