p0,p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,100,80,200,240,0.0069635,8.64156460762024
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,20,200,240,0.0040015,15.579756736755373
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,4,50,200,240,0.0040525,27.882296085357662
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,80,32,200,240,0.0039985,33.98817229270935
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,128,200,240,0.004326,40.072084188461304
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,8,256,200,240,0.0038885,46.285252809524536
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,32,32,200,240,0.0038139999999999,51.41894340515137
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,50,200,240,0.0021384999999999,58.80534601211548
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,20,4,200,240,0.0054485,64.69962930679321
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,80,80,200,240,0.0058095,71.75077652931213
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,32,8,200,240,0.005241,79.14354729652405
 , , ,32,8,50,200,240,0.0040385,85.92683911323547
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,256,200,240,0.004645,90.75819969177246
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,20,16,200,240,0.003945,95.87028813362122
 , , ,128,128,4,200,240,0.0056475,101.63867831230164
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,32,8,200,240,0.008229,107.65082716941832
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,8,50,200,240,0.0044895,116.64879155158997
 , , ,64,64,64,200,240,0.0039605,122.57522010803224
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,50,20,200,240,0.0040595,127.64928436279295
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,64,128,200,240,0.0065915,133.8881208896637
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,16,100,200,240,0.004038,140.72199892997742
