p0,p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,256,60,80,0.0002000032568855,100.87459874153136
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,64,20,60,80,0.0001624527691537,100.88157105445862
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,20,50,60,80,0.0001743024620673,100.89027309417725
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,32,60,80,0.0001379034989618,100.89901375770567
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,64,8,60,80,0.0001731497077883,100.90790510177612
 , , ,8,100,64,60,80,0.0001456115896069,100.9166944026947
 , , ,16,100,4,60,80,0.0002550314054643,100.9257106781006
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,128,64,60,80,0.0002131506707876,100.93487024307252
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,20,128,60,80,0.0001461723485506,100.94416832923888
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,4,20,60,80,0.0001731873874683,100.95351362228394
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,80,8,60,80,0.0001566970013111,100.96395230293274
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,16,100,60,80,0.0001897173067405,100.97315168380736
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,80,60,80,0.0001433263278572,100.98242139816284
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,16,16,60,80,0.0001771195730279,100.99194931983948
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,50,100,60,80,0.0001732785418211,101.0014476776123
 , , ,50,20,8,200,240,0.0043801173624648,101.01134753227234
 , , ,64,8,32,200,240,0.0040069552752997,101.02116107940674
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,100,256,200,240,0.0053450301229215,101.03104162216188
