p0,p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,2048,20,600,720,0.1276795,6.42100977897644
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,64,8,600,720,0.120759,11.42119288444519
 , , ,100,8,4,600,720,0.123622,21.20250368118286
 , , ,80,32,50,600,720,0.1261845,25.88716506958008
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,64,16,600,720,0.1114425,32.09530568122864
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,128,600,720,0.1074865,36.84965109825134
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,8,600,720,0.1334905,43.14099669456482
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,16,600,720,0.1107855,50.23642253875733
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,20,64,600,720,0.104388,55.2339551448822
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,100,128,600,720,0.107816,61.687326431274414
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,80,64,600,720,0.036892,67.55262899398804
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,256,600,720,0.1027055,73.67323231697083
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,50,100,600,720,0.1792564999999999,79.44545292854309
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,16,32,600,720,0.1191605,85.41260743141174
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,100,100,600,720,0.117977,91.9536485671997
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,4,600,720,0.18416,102.62615418434144
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,80,600,720,0.105056,109.66265773773192
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,128,600,720,0.1064789999999999,116.67751336097716
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,50,600,720,0.115563,123.58777523040771
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,32,600,720,0.0556985,135.8344764709473
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,50,256,600,720,0.0380785,145.19284009933472
