p0,p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,100,60,80,0.0001889539991955,9.233365535736084
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,256,200,240,0.0053673898801546,9.238709926605225
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,80,20,1000,1200,0.5065008871797811,10.769560098648071
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,8,8,60,80,0.0002127964624913,71.34422898292542
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,4,8,200,240,0.0044239055778097,71.35343313217163
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,4,4,1000,1200,0.6738249615843831,71.36094832420349
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,64,4,60,80,0.0001976366223701,100.8863468170166
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,16,4,200,240,0.005720493372979,100.89552474021912
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,2048,256,1000,1200,0.7585993452599655,100.90350937843324
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,4,60,80,0.0002613876312144,137.14768862724304
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,16,4,200,240,0.0106598828754018,137.1571979522705
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,8,4,1000,1200,0.8787372177103404,137.1657257080078
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,20,4,60,80,0.0002331924882469,173.19404888153076
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,128,200,240,0.0041333379610396,173.20369172096252
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,100,1000,1200,0.663739549542393,173.2124583721161
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,16,60,80,0.0016863247641489,215.3766763210297
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,128,8,200,240,0.0040422949077056,215.38677215576172
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,4,1000,1200,0.8607645557956286,215.39611196517944
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,4,128,60,80,0.0001552421616756,251.54654216766355
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,256,200,240,0.0053775394799572,251.5570514202118
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,128,1000,1200,0.5749561929824853,251.5674343109131
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,256,60,80,7.03901487896886e-05,287.3205873966217
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,2048,4,200,240,0.0104190822885782,287.3317701816559
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,8,4,1000,1200,0.6566047391513913,287.3420603275299
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,128,60,80,0.00018990115409,330.660117149353
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,80,256,200,240,0.0045010544765765,330.67223596572876
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,256,1000,1200,0.3487966568031402,330.6830894947052
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,128,60,80,0.0001455205185223,368.4668219089508
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,256,200,240,0.0053246262689148,368.47966170310974
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,128,1000,1200,0.3071787129213464,368.4904744625091
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,20,256,60,80,0.000139756785814,463.9922268390655
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,32,256,200,240,0.0044509386236552,464.0057199001312
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,256,1000,1200,0.3778223587515104,464.01694440841675
