p0,p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,256,60,80,0.0002000032568855,407.1306352615357
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,64,20,60,80,0.0001624527691537,407.137321472168
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,20,50,60,80,0.0001743024620673,407.14600896835327
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,32,60,80,0.0001379034989618,407.1546277999878
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,64,8,60,80,0.0001731497077883,407.1632616519928
 , , ,8,100,64,60,80,0.0001456115896069,407.17172837257385
 , , ,16,100,4,60,80,0.0002550314054643,407.18041038513184
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,128,64,60,80,0.0002131506707876,407.1891553401947
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,20,128,60,80,0.0001461723485506,407.19784450531006
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,4,20,60,80,0.0001731873874683,407.2066762447357
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,80,8,60,80,0.0001566970013111,407.2157588005066
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,16,100,60,80,0.0001897173067405,407.22474217414856
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,80,60,80,0.0001433263278572,407.233811378479
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,16,16,60,80,0.0001771195730279,407.24308943748474
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,50,100,60,80,0.0001732785418211,407.25255250930786
 , , ,50,20,8,200,240,0.0043801173624648,407.2621519565582
 , , ,64,8,32,200,240,0.0040069552752997,407.2719807624817
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,100,256,200,240,0.0053450301229215,407.2816669940949
