p0,p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,2048,100,2000,2600,12.420401,45.19345808029175
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,64,2000,2600,6.4317375000000006,116.1975646018982
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,100,2000,2600,6.229793,187.15348935127255
 , , ,4,4,128,2000,2600,8.4964295,245.1019504070282
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,4,2000,2600,9.4615995,301.1937425136566
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,4,256,2000,2600,2.455873,342.76117634773254
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,256,2000,2600,5.7814475000000005,393.90613436698914
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,20,256,2000,2600,4.9771675,445.7977421283722
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,8,100,2000,2600,6.087695,524.8614530563354
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,8,256,2000,2600,5.380485999999999,590.2696096897125
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,4,2000,2600,15.433812,673.7411830425262
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,256,2000,2600,5.732097,731.7173421382904
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,32,4,2000,2600,12.045224,816.4815261363983
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,20,8,2000,2600,9.5663505,910.505434513092
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,2048,4,2000,2600,11.936402,987.2294473648072
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,64,2000,2600,2.3047955,1040.8654520511627
 , , ,128,8,16,2000,2600,4.5156665,1106.8212661743164
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,128,2000,2600,1.96272,1167.2578506469729
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,4,80,2000,2600,7.860043000000001,1235.0578966140747
 , , ,128,16,4,2000,2600,6.706658,1299.8095524311066
 , , ,8,4,4,2000,2600,9.2459975,1414.3934907913208
 , , ,128,2048,16,2000,2600,4.3986575000000006,1487.425802707672
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,2048,128,2000,2600,5.581136,1570.041404724121
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,100,2000,2600,2.6050125,1709.7890858650208
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,8,2000,2600,6.2619235,1870.6376605033877
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,256,2000,2600,1.5268864999999998,1969.5653245449064
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,256,2000,2600,1.5981805,2130.681406736374
 , , ,4,2048,8,2000,2600,5.434404499999999,2247.353424549103
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,128,2000,2600,3.1485475000000003,2396.3771920204163
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,2048,8,2000,2600,19.753429,2618.609758615494
