p0,p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,100,60,80,0.0001889539991955,45.32984280586243
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,256,200,240,0.0053673898801546,45.33563590049744
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,80,20,1000,1200,0.5065008871797811,46.86617159843445
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,4,8,60,80,0.0002136685294916,116.21839451789856
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,4,4,200,240,0.0057295208527277,116.22760319709778
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,4,16,1000,1200,0.4843385732202716,116.23523187637328
 , , ,128,16,256,60,80,0.0001630932297318,187.1742467880249
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,256,200,240,0.0044630921116929,187.1831374168396
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,256,1000,1200,0.4639661550733704,187.19119834899905
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,4,80,60,80,0.0001542622630959,245.12369179725647
 , , ,64,4,256,200,240,0.0046346159334107,245.1330122947693
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,4,128,1000,1200,0.7050860439028297,245.14146280288696
 , , ,96,4,256,60,80,0.0001542886763537,301.21723914146423
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,80,200,240,0.0042811459448942,301.2274899482727
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,4,1000,1200,0.7603439097543798,301.2362585067749
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,256,60,80,0.0001490187828773,342.7802996635437
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,8,256,200,240,0.0037775768040033,342.7905333042145
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,256,1000,1200,0.5783121257649296,342.79984498023987
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,4,256,60,80,0.0001529365496635,393.9304316043854
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,128,200,240,0.0020656367985231,393.94095396995544
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,16,4,1000,1200,0.9631423964866366,393.9510409832001
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,16,32,60,80,0.0001430690876487,445.81912302970886
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,16,80,200,240,0.0046895173548419,445.83088779449463
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,100,1000,1200,0.2582411993926754,445.8412358760834
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,4,128,60,80,0.0001594886065015,524.8879699707031
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,8,256,200,240,0.0067232351619797,524.9035716056824
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,128,1000,1200,0.2591344474428558,524.9146747589111
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,256,60,80,0.0001499645588049,590.2922291755676
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,8,256,200,240,0.0042465571200595,590.3053903579712
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,128,1000,1200,0.6118321759027523,590.3163735866547
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,128,60,80,0.0001552515275084,673.7670841217041
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,4,200,240,0.0057337474652501,673.7805438041687
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,4,4,1000,1200,0.9132602126861932,673.7924795150757
