p0,p1,p2,p3,p4,p5,t0,t1,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,64,128,128,60,80,0.0001783077266341,37.66110897064209
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,80,8,200,240,0.0045140299977711,37.66666102409363
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,8,1000,1200,0.4816977109497664,39.11584281921387
 , , ,128,4,256,60,80,0.0001542923748869,115.25483679771423
 , , ,4,8,256,200,240,0.0046531291058921,115.26243615150452
 , , ,4,4,256,1000,1200,0.6780073625063882,115.27010345458984
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,256,60,80,0.0001493971190414,159.5570683479309
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,256,200,240,0.0054139402285823,159.56716322898865
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,128,1000,1200,0.4942987068376725,159.57526445388794
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,8,4,60,80,0.000208891508823,242.70976185798645
 , , ,128,2048,32,200,240,0.0040138523956229,242.72313117980957
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,100,1000,1200,0.276689751044799,242.7316391468048
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,100,60,80,0.0002156620484939,287.2174472808838
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,64,200,240,0.0040513950058903,287.2262761592865
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,128,1000,1200,0.2591344474428558,287.23504185676575
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,4,128,60,80,0.0001594674747979,330.45042610168457
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,256,200,240,0.0044901943052879,330.46177554130554
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,4,4,1000,1200,0.9132602126861932,330.4714138507843
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,20,256,60,80,0.000139756785814,369.3057236671448
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,2048,50,200,240,0.0040795141840555,369.3186297416687
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,80,1000,1200,0.4472620237109308,369.3286211490631
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,4,8,60,80,0.0002136466241505,419.520082950592
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,4,16,200,240,0.0039807219036832,419.5330080986023
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,128,1000,1200,0.465821509288371,419.54337906837463
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,100,16,60,80,0.0001898394697873,490.0262587070465
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,50,4,200,240,0.005713653340521,490.03682351112366
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,8,128,1000,1200,0.5712171611480222,490.0474200248718
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,32,256,60,80,0.0001517634150537,532.8030776977539
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,4,80,200,240,0.004076574237453,532.8149976730347
 , , ,128,32,20,1000,1200,0.4787493934447004,532.8258912563324
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,16,60,80,0.000202311060477,597.0682790279388
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,64,256,200,240,0.0044568210324377,597.080536365509
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,16,4,1000,1200,0.6332089912188315,597.0917046070099
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,16,4,60,80,0.0001936293270595,646.0804922580719
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,50,4,200,240,0.0057346714659462,646.0930652618408
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,256,1000,1200,0.5297502962203611,646.1046783924103
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,80,256,60,80,0.0001722103929618,710.7081212997437
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,50,200,240,0.0038968779686497,710.7210395336151
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,128,20,1000,1200,0.6185425483856379,710.7330293655396
 , , ,4,2048,64,60,80,0.0003593231771358,748.5839676856995
 , , ,4,64,64,200,240,0.0042316134066072,748.5974817276001
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,16,1000,1200,0.3655988391929563,748.6098127365112
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,20,60,80,0.0001429314717471,789.3018362522125
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,4,100,200,240,0.0017846683170379,789.3155002593994
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,32,1000,1200,0.536200794902272,789.3298826217651
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,8,8,60,80,0.0002127660983382,848.6172349452972
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,4,200,240,0.0057223287409406,848.631932258606
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,4,4,1000,1200,0.8337427211168316,848.6451478004456
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,20,256,60,80,0.0001401471687034,909.0534703731536
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,20,200,240,0.004207765960829,909.0679111480712
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,4,20,1000,1200,0.3074733454797353,909.0816111564636
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,4,60,80,0.005649638912646,957.979249238968
